"key","es","en"
"Test","Esto es una prueba.","This is a test."
"Test2","Esto está en español.","This is in english."
"pause_menu","Pausa","Pause"
"controller_menu","Controles","Controls"
"statistics","Estadisticas","Statistics"
"options_menu","Opciones","Options"
"btn_resume","Reanudar","Resume"
"btn_save","Guardar","Save"
"btn_quit","Salir","Quit"
"l1m1_text","Carrera Tic-Toc en la Sala de Produccion","Tick-Tock race in the Production Room"
"l1m2_text","Buscando tuercas en la Sala de Produccion","Searching for gears in the Production Room"
"l1m3_text","Carrera Vs. Robo-Hal en la Sala de Produccion","Race against Robo-Hal in the Production Room"
"l1m4_text","Fuego en la Sala de Produccion","Fire in the Production Room"
"l1m5_text","Olvidada en la Sala de Produccion","Forgotten in the Production Room"
"text_loading","Cargando...","Loading..."
"text_languages","Idiomas:","Languages:"
"language_spanish","Castellano","Spanish"
"language_english","Ingles","English"
"btn_play","Jugar","Play"
"delete_progress","Borrar todo","Delete all"
"delete_warning","Estas seguro?. Esta accion no se puede revertir.","Are you sure?. This action cannot be reversed."
"btn_cancel","Cancelar","Cancel"
"btn_accept","Aceptar","Continue"
"control_left","Mover a Hal","Move Hal"
"control_right","Mover camara","Move camera"
"control_a","Saltar. (En el aire) doble salto","Jump. (Mid-air) double jump"
"control_b","SUCC. (En el aire) Botas de hierro","SUCC. (Mid-air) Iron boots"
"control_x","Poder de SLIME","SLIME power"
"control_y","Super Mazo","Super Hammer"
"l2m1_text","Carrera Tic-Toc en la Sala Congelada","Tick-Tock race in the Frozen Room"
"l2m2_text","Buscando tuercas en la Sala Congelada","Searching for gears in the Frozen Room"
"l2m3_text","Carrera Vs. Robo-Hal en la Sala Congelada","Race against Robo-Hal in the Frozen Room"
"l2m4_text","Patinaje en la Sala Congelada","Ice skating in the Frozen Room"
"l2m5_text","Olvidada en la Sala Congelada","Forgotten in the Frozen Room"
"l3m1_text","Carrera Tic-Toc en la Sala de Reciclado de Residuos","Tick-Tock race in the Waste Removal Room"
"l3m2_text","Buscando tuercas en la Sala de Reciclado de Residuos","Searching for gears in the Waste Removal Room"
"l3m3_text","Carrera Vs. Robo Hal en la Sala de Reciclado de Residuos","Race against Robo-Hal in the Waste Removal Room"
"l3m4_text","Sobre porqueria en la Sala de Reciclado de Residuos","Getting Dirty in the Waste Removal Room"
"l3m5_text","Olvidada en la Sala de Reciclado de Residuos","Forgotten in the Waste Removal Room"
"l4m1_text","Carrera Tic-Toc en la Sala Inundada","Tick-Tock race in the Underwater Room"
"l4m2_text","Buscando tuercas en la Sala Inundada","Searching for gears in the Underwater Room"
"l4m3_text","Carrera Vs. Robo-Hal en la Sala Inundada","Race against Robo-Hal in the Underwater Room"
"l4m4_text","Nadando en la Sala Inundada","Swimming in the Underwater Room"
"l5m5_text","Olvidada en la Sala Inundada","Forgotten in the Underwater Room"
"l5m1_text","El Sistema Operativo Central","The Core Operating System"
"credits_name","Project SLIME 3D fue creado por: Mr. Game & Andi","Project SLIME 3D was created by: Mr. Game & Andi"
"credits_page","Encuentra mas juegos en: https://mrgameandandi.itch.io/","Find more games here: https://mrgameandandi.itch.io/"
"credits_menu","Creditos","Credits"
